;ANO;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Janeiro;1.003.891;1.179.572;1.364.782;1.643.716;1.838.184;2.148.807;2.726.016;2.669.691;2.767.963;2.587.591;2.481.193;2.811.329;2.639.363;2.757.297;2.512.099;3.044.246;2.335.282;3.540.074;3.386.084;3.083.078;3.567.060;2.982.237;3.031.741;2.488.120;2.529.664;2.103.338
Fevereiro;902.990;1.011.741;1.142.380;1.520.253;1.780.041;2.041.905;2.390.052;2.459.284;2.497.067;2.326.009;2.216.096;2.492.810;2.431.449;2.538.118;2.394.867;2.693.192;2.234.412;3.024.968;3.112.606;2.604.016;3.082.649;2.740.188;2.519.416;2.241.859;2.334.618;1.942.041
Março;1.133.914;1.229.884;1.372.367;1.734.887;1.909.970;2.263.055;2.320.015;2.625.543;2.651.639;2.497.521;2.330.158;2.578.259;2.517.134;2.884.588;2.601.292;2.792.699;2.504.139;3.019.968;3.544.201;2.950.614;3.091.913;2.937.402;3.197.967;2.395.565;2.307.088;2.308.874
Abril;1.139.336;1.156.583;1.234.413;1.669.693;1.827.341;1.892.277;2.686.491;2.497.803;2.612.819;2.437.332;2.570.834;2.678.920;2.542.193;2.781.627;2.349.902;2.698.945;2.598.011;3.310.759;3.524.413;2.887.316;3.044.635;2.825.928;2.849.398;2.373.680;2.297.407;2.345.814
Maio;1.235.174;1.181.629;1.488.276;1.687.229;1.887.704;2.177.878;2.481.173;2.420.369;2.680.069;2.609.989;2.567.375;2.811.576;2.744.754;2.808.113;2.762.930;2.651.298;3.103.939;3.558.469;3.434.589;3.192.991;2.935.657;2.736.905;2.534.058;2.625.090;2.459.691;2.376.074
Junho;1.112.315;1.230.287;1.389.853;1.685.411;1.869.533;2.480.324;2.570.476;2.502.495;2.600.318;1.939.574;2.271.353;2.724.380;2.818.892;2.814.661;2.779.453;2.664.206;3.020.151;3.590.999;3.508.096;2.904.324;3.118.934;2.576.008;2.589.432;2.326.584;2.415.534;
Julho;1.082.357;1.262.145;1.251.119;1.753.241;1.716.747;2.709.065;2.839.182;2.464.178;2.705.175;2.263.049;2.649.694;2.618.847;2.860.196;2.884.166;3.036.430;2.884.948;3.019.894;3.443.110;3.549.242;3.168.201;3.193.775;2.498.920;2.918.979;2.518.718;2.371.390;
Agosto;1.099.616;1.209.537;1.497.535;1.833.800;1.672.536;2.795.984;2.818.602;2.718.123;2.732.534;2.375.633;2.703.810;2.714.326;2.795.022;2.693.295;2.999.237;2.906.060;3.253.891;3.086.605;2.867.566;3.335.705;3.233.434;2.308.937;2.731.643;2.460.398;2.350.680;
Setembro;1.017.213;1.265.541;1.374.210;1.754.121;1.904.171;2.656.004;2.714.185;2.578.979;2.667.994;2.317.730;2.386.992;2.655.471;2.480.615;2.666.921;2.885.935;2.559.816;3.234.459;3.406.720;2.757.999;3.326.193;2.941.436;2.565.724;2.940.894;2.574.288;2.207.028;
Outubro;1.210.027;1.316.508;1.400.747;1.781.394;2.012.607;2.472.625;2.656.180;2.620.857;2.643.190;2.473.298;2.479.736;2.672.019;2.729.004;2.717.145;3.113.839;2.774.966;3.123.145;3.562.711;3.185.702;3.452.526;2.731.892;2.895.043;2.780.306;2.153.361;2.186.540;
Novembro;1.028.497;1.291.701;1.411.509;1.710.162;1.885.553;2.551.864;2.623.323;2.627.675;2.524.586;2.394.235;2.720.610;2.478.327;2.669.002;2.674.317;2.987.599;2.316.836;3.334.784;3.304.908;3.108.692;3.389.321;2.681.475;3.072.070;2.496.435;2.464.539;2.105.437;
Dezembro;1.149.482;1.331.245;1.494.402;1.774.953;2.152.870;2.753.383;2.706.486;2.718.034;2.544.087;2.494.876;2.825.631;2.705.460;2.903.066;2.718.163;3.051.775;2.683.621;3.645.291;3.676.301;3.202.689;3.404.498;2.961.883;3.001.181;2.877.863;2.555.993;2.085.006;
Total do Ano;13.114.814;14.666.371;16.421.593;20.548.860;22.457.257;28.943.171;31.532.182;30.903.032;31.627.441;28.716.838;30.203.482;31.941.724;32.130.691;32.938.411;33.475.359;32.670.833;35.407.398;40.525.593;39.181.879;37.698.782;36.584.745;33.140.542;33.468.133;29.178.194;27.650.081;11.076.140
